parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F52,Mitteorgaanilised seksuaaldüsfunktsioonid,2012,M,20-29,325,114,0.00316851496706412,35979,M,Mental and behavioural disorders,Mental health disorders,Sexual dysfunction not due to a substance or known physiological condition
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F33,Korduv depressiivne häire e korduv depressioon,2012,N,20-29,1978,292,0.00880260460629446,33172,F,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, recurrent"
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I83,Alajäsemete vaariksid e veenikomud,2012,N,20-29,333,180,0.00542626311346919,33172,F,Diseases of the circulatory system,Circulatory system,Varicose veins of lower extremities
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,2012,N,20-29,245,91,0.00274327746292053,33172,F,Mental and behavioural disorders,Mental health disorders,Alcohol related disorders
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I69,Peaajuveresoonte haiguse jääknähud,2012,N,20-29,16,7,2.110213433016e-4,33172,F,Diseases of the circulatory system,Circulatory system,Sequelae of cerebrovascular disease
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I67,Peaajuveresoonte muud haigused,2012,N,20-29,33,11,3.316049680453e-4,33172,F,Diseases of the circulatory system,Circulatory system,Other cerebrovascular diseases
F00-F99,Psüühika- ja käitumishäired,F70-F79,Vaimne alaareng,F70,Kerge vaimne alaareng,2012,N,20-29,368,101,0.00304473652477993,33172,F,Mental and behavioural disorders,Mental health disorders,Mild intellectual disabilities
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I63,Peaajuinfarkt,2012,N,20-29,19,7,2.110213433016e-4,33172,F,Diseases of the circulatory system,Circulatory system,Cerebral infarction
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,I50,Südamepuudulikkus,2012,N,20-29,72,21,6.330640299047e-4,33172,F,Diseases of the circulatory system,Circulatory system,Heart failure
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,I49,Muud südamerütmitused e arütmiad,2012,N,20-29,494,220,0.00663209936090678,33172,F,Diseases of the circulatory system,Circulatory system,Other cardiac arrhythmias
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,I48,Kodade virvendus ja laperdus,2012,N,20-29,50,15,4.521885927891e-4,33172,F,Diseases of the circulatory system,Circulatory system,Atrial fibrillation and flutter
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F51,Mitteorgaanilised unehäired,2012,N,20-29,431,145,0.00437115639696129,33172,F,Mental and behavioural disorders,Mental health disorders,Sleep disorders not due to a substance or known physiological condition
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F48,Muud neurootilised häired,2012,N,20-29,285,123,0.00370794646087061,33172,F,Mental and behavioural disorders,Mental health disorders,Other nonpsychotic mental disorders
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",2012,N,20-29,105,27,8.139394670204e-4,33172,F,Mental and behavioural disorders,Mental health disorders,Personality and behavioral disorders due to known physiological condition
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F45,Somatoformsed häired,2012,N,20-29,1075,568,0.01712287471361389,33172,F,Mental and behavioural disorders,Mental health disorders,Somatoform disorders
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,I20,Stenokardia e rinnaangiin e rinnaahistus,2012,N,20-29,35,23,6.933558422766e-4,33172,F,Diseases of the circulatory system,Circulatory system,Angina pectoris
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F43,Rasked stressreaktsioonid ja kohanemishäired,2012,N,20-29,939,272,0.00819968648257566,33172,F,Mental and behavioural disorders,Mental health disorders,"Reaction to severe stress, and adjustment disorders"
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,I11,Südamekahjustusega hüpertooniatõbi,2012,N,20-29,227,58,0.00174846255878451,33172,F,Diseases of the circulatory system,Circulatory system,Hypertensive heart disease
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,I10,Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi,2012,N,20-29,1044,244,0.00735560110936934,33172,F,Diseases of the circulatory system,Circulatory system,Essential (primary) hypertension
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F41,Muud ärevushäired,2012,N,20-29,4077,734,0.02212709514047992,33172,F,Mental and behavioural disorders,Mental health disorders,Other anxiety disorders
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F32,Depressiivne episood e. depressioon,2012,N,20-29,4174,845,0.02547329072711925,33172,F,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, single episode"
