parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,I11,Südamekahjustusega hüpertooniatõbi,2022,N,20-29,101,19,0.00147676045390952,12866,F,Diseases of the circulatory system,Circulatory system,Hypertensive heart disease
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I84,Hemorroidid e päraku veenikomud,2022,N,20-29,759,300,0.0233172703248873,12866,F,Diseases of the circulatory system,Circulatory system,Hemorrhoids
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I83,Alajäsemete vaariksid e veenikomud,2022,N,20-29,65,45,0.00349759054873309,12866,F,Diseases of the circulatory system,Circulatory system,Varicose veins of lower extremities
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F48,Muud neurootilised häired,2022,N,20-29,74,27,0.00209855432923985,12866,F,Mental and behavioural disorders,Mental health disorders,Other nonpsychotic mental disorders
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,I50,Südamepuudulikkus,2022,N,20-29,63,9,6.995181097466e-4,12866,F,Diseases of the circulatory system,Circulatory system,Heart failure
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,I10,Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi,2022,N,20-29,680,110,0.00854966578579201,12866,F,Diseases of the circulatory system,Circulatory system,Essential (primary) hypertension
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F45,Somatoformsed häired,2022,N,20-29,324,78,0.00606249028447069,12866,F,Mental and behavioural disorders,Mental health disorders,Somatoform disorders
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F43,Rasked stressreaktsioonid ja kohanemishäired,2022,N,20-29,1484,249,0.01935333436965645,12866,F,Mental and behavioural disorders,Mental health disorders,"Reaction to severe stress, and adjustment disorders"
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",I80,Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik,2022,N,20-29,28,12,9.326908129955e-4,12866,F,Diseases of the circulatory system,Circulatory system,Phlebitis and thrombophlebitis
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F41,Muud ärevushäired,2022,N,20-29,9429,1216,0.09451266905020986,12866,F,Mental and behavioural disorders,Mental health disorders,Other anxiety disorders
